X,Y,Z
 1684, 676, 191
 1734, 683, 140
 1689, 700, 152
 1751, 693, 234
 1744, 666, 148
 1714, 670, 169
 1754, 651, 156
 1701, 655, 141
 1684, 730, 117
 1723, 753, 121
 1688, 733, 182
 1681, 728, 115
 1695, 716, 185
 1744, 691, 121
 1723, 708, 167
 1715, 696, 142
 1751, 682, 187
 1737, 694, 117
 1711, 679, 172
 1716, 677, 176
 1651, 649, 261
 1718, 676, 113
 1673, 657, 168
 1740, 692, 233
 1787, 702, 181
 1748, 679, 176
 1759, 703, 205
 1716, 683, 194
 1702, 687, 160
 1672, 691, 182
 1736, 684, 207
 1711, 714, 188
 1746, 711, 168
 1710, 717, 154
 1732, 692, 169
 1770, 714, 174
 1780, 699, 181
 1748, 716, 201
 1735, 671, 153
 1694, 685, 165
 1720, 686, 203
 1763, 668, 192
 1712, 697, 198
 1731, 736, 132
 1727, 710, 109
 1731, 736, 132
 1727, 712, 170
 1727, 735, 131
 1609, 725, 144
 1699, 689, 119
 1693, 728, 75
 1682, 743, 67
 1684, 703, 110
 1757, 740, 165
 1762, 700, 213
 1768, 724, 172
 1737, 729, 194
 1728, 703, 231
 1703, 746, 97
 1748, 728, 86
 1708, 706, 142
 1747, 729, 148
 1698, 721, 135
 1745, 672, 169
 1740, 671, 165
 1635, 630, -46
 1729, 687, 222
 1729, 687, 222
 1690, 681, 203
 1709, 691, 173
 1652, 658, 200
 1658, 682, 160
 1682, 654, 177
 1671, 686, 137
 1667, 662, 176
 1700, 721, 75
 1694, 699, 173
 1675, 687, 140
 1720, 712, 226
 1726, 736, 187
 1741, 721, 140
 1713, 725, 160
 1722, 711, 168
 1707, 685, 131
 1701, 723, 86
 1570, 652, 220
 1692, 698, 120
 1657, 676, 120
 1667, 720, 157
 1716, 727, 108
 1730, 713, 117
 1744, 764, 104
 1701, 717, 138
 1728, 686, 198
 1725, 689, 323
 1707, 717, 185
 1732, 688, 203
 1713, 678, 233
 1678, 742, 122
 1707, 715, 141
 1669, 717, 158
 1706, 781, 119
 1723, 726, 172
 1705, 683, 123
 1661, 700, 137
 1685, 699, 111
 1686, 672, 153
 1710, 708, 147
 1642, 666, 268
 1702, 719, 141
 1697, 694, 118
 1653, 712, 193
 1682, 708, 170
 1731, 708, 173
 1728, 672, 214
 1749, 720, 206
 1747, 683, 246
 1773, 692, 224
 1737, 674, 227
 1745, 662, 232
 1724, 687, 154
 1737, 674, 227
 1810, 693, 215
 1763, 739, 240
 1665, 707, 293
 1721, 716, 228
 1697, 679, 174
 1762, 702, 215
 1699, 700, 124
 1645, 692, 173
 1733, 740, 45
 1723, 690, 56
 1747, 728, 113
 1743, 748, 68
 1761, 699, 120
 1699, 686, 181
 1691, 697, 175
 1724, 694, 156
 1743, 741, 144
 1680, 706, 166
 1665, 721, 217
 1737, 740, 203
 1742, 701, 250
 1730, 719, 177
 1723, 759, 193
 1793, 733, 178
 1739, 724, 164
 1738, 686, 143
 1727, 739, 157
 1743, 724, 105
 1698, 686, 179
 1678, 713, 231
 1736, 708, 184
 1695, 676, 107
 1698, 678, 108
 1656, 655, 166
 1684, 692, 161
 1689, 716, 123
 1679, 688, 90
 1698, 701, 185
 1679, 689, 153
 1690, 674, 161
 1664, 638, 167
 1704, 659, 107
 1684, 714, 114
 1743, 702, 89
 1713, 730, 72
 1743, 724, 53
 1727, 701, 139
 1727, 701, 139
 1729, 719, 179
 1710, 708, 147
 1666, 726, 158
 1724, 669, 142
 1726, 633, 188
 1806, 693, 113
 1755, 650, 144
 1786, 683, 142
 1771, 697, 124
 1722, 714, 134
 1737, 700, 145
 1726, 716, 201
 1712, 729, 126
 1700, 680, 146
 1758, 713, 121
 1719, 690, 118
 1743, 702, 89
 1704, 703, 109
 1750, 729, 114
 1725, 692, 120
 1765, 715, 124
 1765, 715, 124
 1730, 717, 81
 1723, 648, 103
 1729, 687, 124
 1766, 672, 171
 1706, 675, 151
 1642, 600, -26
 1747, 685, 152
 1751, 752, 131
